date,block,elapsed_seconds,debt,nav,tab,rebate,owe,gain,sde,gap,daily_tab,daily_rebate,daily_owe,daily_gain,daily_sde,net_cost_of_funds,pipeline_daily_cost_of_funds,pipeline_utilized,pipeline_ssr_apy,pipeline_sub_apr,pipeline_sde_av,pipeline_lending_idle,pipeline_debt_difference
2026-08-01,25663469,86400,1000000,1000481.888993457501809877,100.263792476419527669,38.143801536994781528,1002.637924764195276697,55.777692835207670839,0,0,100.263792476419527669,38.143801536994781528,1002.637924764195276697,55.777692835207670839,0,62.119990939424746141,62.19974058322594217485398070,619543.7156782101971998067019,0.03519999850777533,,0,380456.2843217898028001932981,0
2026-08-02,25670641,86400,1000000,1000537.668329863546357774,200.527584952839659034,76.289791474584608339,2005.275849528396590355,111.557029241252218736,0,0,100.263792476420131365,38.145989937589826811,1002.637924764201313658,55.779336406044547897,0,124.237793478255050695,62.19766310513649930965436340,619523.0228508333479064236443,0.03519999850777533,,0,380476.9771491666520935763557,0
2026-08-03,25677819,86400,1000000,1000593.455039001807274832,300.791377429260140262,114.437856153524431067,3007.913774292601402643,167.343738379513135794,0,0,100.263792476420481228,38.148064678939822728,1002.637924764204812288,55.786709138260917058,0,186.353521275735709195,62.19549335606574816977849979,619501.4109536006924988829723,0.03519999850777533,,0,380498.5890463993075011170277,0
2026-08-04,25684999,86400,1001000,1001649.270527050434367511,401.155433698156075338,152.588087723243043049,4010.551699056796558249,223.131783317389764789,0,0.027443110750463684,100.364056268895935076,38.150231569718611982,1002.637924764195155606,55.788044937876628995,0,248.567345974913032289,62.25580001548948509380543352,620102.0985370083682012070598,0.03519999850777533,,0,380897.9014629916317987929402,0
2026-08-05,25692172,86400,1001000,1001700.965906705926713359,501.519489967052279789,175.529509010137751456,5013.189623820994404914,278.983596743091133029,0,-4.128990659458558708,100.364056268896204451,22.941421286894708407,1002.637924764197846665,55.85181342570136824,0,325.989980956914528333,37.36634207125829864838009999,372189.3723520371296808637192,0.03519999850777533,,0,228810.6276479628703191362808,0
2026-08-06,25699361,86400,1001000,1001749.986522750977853416,601.883546235948911191,198.470930297032557456,6015.827548585196516827,312.533216366217262758,0,11.34200576246645162,100.364056268896631402,22.941421286894806,1002.637924764202111913,33.549619623126129729,0,403.412615938916353735,62.25185274348470360627563108,620062.7815311542568674708453,0.03519999850777533,,0,380937.2184688457431325291547,0
2026-08-07,25706531,86400,1001000,1001805.840219765467063619,702.247602504845041544,236.665140516137464922,7018.465473349393623252,368.386913380706472961,0,11.34200576246645162,100.364056268896130353,38.194210219104907466,1002.637924764197106425,55.853697014489210203,0,465.582461988707576622,62.24939066136975528727817625,620038.2578355970553046599509,0.03519999850777533,,0,380961.7421644029446953400491,0
2026-08-08,25713689,86400,1001000,1001861.69876800264068662,802.611658773741366432,274.861809573964548577,8021.103398113592673086,424.245461617880095962,0,11.34200576246645162,100.364056268896324888,38.196669057827083655,1002.637924764199049834,55.858548237173623001,0,527.749849199776817855,62.24763136185461844719615556,620020.7342422769138171803893,0.03519999850777533,,0,380979.2657577230861828196107,0
2026-08-09,25720867,86400,1001000,1001917.559035663275502659,902.975715042638385904,313.060235613715988435,9023.741322877798661818,480.105729278514912001,0,11.34200576246645162,100.364056268897019472,38.198426039751439858,1002.637924764205988732,55.860267660634816039,0,589.915479428922397469,62.24543357923823514924982029,619998.8431154709237310708449,0.03519999850777533,,0,381001.1568845290762689291551,0
2026-08-10,25728039,86400,1001000,1001973.421687824003578976,1003.339771311534586384,351.260856540862267365,10026.379247641996468814,535.968381439242988318,0,11.34200576246645162,100.36405626889620048,38.20062092714627893,1002.637924764197806996,55.862652160728076317,0,652.078914770672319019,62.24321436732485448105798458,619976.7385410498530274465025,0.03519999850777533,,0,381023.2614589501469725534975,0
2026-08-11,25735200,86400,1001000,1002029.292387717796628169,1103.703827580430959856,389.463693756471145953,11029.017172406196004003,591.839081333036037511,0,11.34200576246645162,100.364056268896373472,38.202837215608878588,1002.637924764199535189,55.870699893793049193,0,714.240133823959813903,62.24135329923056368375473119,619958.2012765620003022658434,0.03519999850777533,,0,381041.7987234379996977341566,0
2026-08-12,25742366,86400,1001000,1002085.165188170766643669,1204.067883849327374657,427.668389588519730849,12031.655097170395952066,647.711881786006053011,0,11.34200576246645162,100.364056268896414801,38.204695832048584896,1002.637924764199948063,55.8728004529700155,0,776.399494260807643808,62.23922196579983685546954065,619936.9720202879349537577529,0.03519999850777533,,0,381063.0279797120650462422471,0
2026-08-13,25749550,86400,2001000,2002156.023155634253922231,1404.695732594643152381,465.875213946313687036,13034.293021934592742293,703.592504958131073764,0,26.319350053828709429,200.627848745315777724,38.206824357793956187,1002.637924764196790227,55.880623172125020753,0,938.820518648329465345,124.4544858905987118850405228,1239635.308740767084559940067,0.03519999850777533,,0,761364.6912592329154400599327,0
2026-08-14,25756720,86400,2001000,2002267.673125849855342381,1605.3235813399607352,542.212525349603442802,14036.930946698798553486,815.242475173732493914,0,26.319350053828709429,200.627848745317582819,76.337311403289755766,1002.637924764205811193,111.64997021560142015,0,1063.111055990357292398,124.4502351733229977546074780,1239592.969252682407620472167,0.03519999850777533,,0,761407.0307473175923795278329,0
2026-08-15,25763887,86400,2001000,2002379.328265853742044618,1805.951430085276650957,618.55408187053944416,15039.568871462996033533,926.897615177619196151,0,26.319350053828709429,200.627848745315915757,76.341556520936001358,1002.637924764197480047,111.655140003886702237,0,1187.397348214737206797,124.4456515482050991036034736,1239547.313818910635083245070,0.03519999850777533,,0,761452.6861810893649167549295,0
2026-08-16,25771073,86400,2001000,2002490.989121711741426467,2006.579278830592357408,694.900215978412479797,16042.206796227192467571,1038.558471035618578,0,26.319350053828709429,200.627848745315706451,76.346134107873035637,1002.637924764196434038,111.660855857999381849,0,1311.679062852179877611,124.4413980325557413815698401,1239504.946457481330814884311,0.03519999850777533,,0,761495.0535425186691851156889,0
2026-08-17,25778250,86400,3001497,3002633.721565965461757214,2307.520751157189591018,771.250597998619916548,17044.844720991392577085,1150.209144322088308866,0,-439.59887897892069069,300.94147232659723361,76.350382020207436751,1002.637924764200109514,111.650673286469730866,0,1536.27015315856967447,186.7038882258815726904422511,1859673.682854976141788549138,0.03519999850777533,,0,1141823.317145023858211450862,0
2026-08-18,25785424,86400,4001497,4002823.736062645978212569,2708.726015960209139661,885.734134113586757229,18048.690122608391977773,1317.606847663701854525,0,-416.982085640017780994,401.205264803019548643,114.483536114966840681,1003.845401616999400688,167.397703341613545659,0,1822.991881846622382432,248.9146752741134235654272236,2479327.427416115725820632878,0.03519999850777533,,0,1522169.572583884274179367122,0
2026-08-19,25792601,86400,4001497,4003046.917265600383269812,3109.931280763223508262,1038.352628253057183072,19052.535524225378417612,1540.788050618106911768,0,-416.982085640017780994,401.205264803014368601,152.618494139470425843,1003.845401616986439839,223.181202954405057243,0,2071.57865251016632519,248.9062019957364943176846560,2479243.028890970843046336083,0.03519999850777533,,0,1522253.971109029156953663917,0
