date,venue,block,tx_hash,log_index,token,amount_usds_at_par
2026-08-10,E21,25725609,0x3e2e256b5f1a165f3764dfd1905749156dc7601000fe44f4904f648066a49989,703,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,222936.27
2026-08-10,E42,25726234,0x2d5b514fb59d52479712a54d7f2bfd999f9ce92fe7fc54310a5e7d9eb96dcf1c,467,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,20
2026-08-10,E42,25726528,0x67b4556fab01bdb15ed20534a693f8e6cd7264094436c60fa368e1206a184f17,1239,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,474468.89
2026-08-26,E38,25840963,0xbe8c60e79230555cb3b959c5934b00eaf90d479729d5017054cc7d43bb4d0065,272,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,857964
